company_id	company_name	total_revenue	fashion_style	company_regions	company_operated_retail_stores	founding_year	country_of_origin	years	revenue
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2018	22050000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2019	22000000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2020	20150000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2021	21240000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2022	22420000000
7	H&M	20583333333	FAST FASHION	Europe & Africa, Asia, Oceania & Africa, North & South America	364.0833333	1947	Västerås,Sweden.	company_revenue_2023	22240000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2012	20510000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2013	22220000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2014	24070000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2015	23190000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2016	25800000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2017	28600000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2018	30880000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2019	31660000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2020	23300000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2021	32800000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2022	34300000000
8	Zara	28000000000	FAST FASHION	Europe, America,Asia and Oceania, Africa.	185.0833333	1974	A Coruña, Spain.	company_revenue_2023	38290000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2012	945000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2013	1016000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2014	1131000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2015	1286000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2016	1173000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2017	1176000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2018	1109100000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2019	1167600000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2020	1210300000
